sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,Scenes,sound,,csv bug
!,0,,,Rain shared that his family was facing financial difficulties. Despite his mother working two jobs， they were struggling to cover daily expenses.,1,,,,Coffe,,,
!,1,,,He asked if his family could receive any financial support. After assessing the situation， the field worker concluded that Ryan was not at immediate risk and reported the case accordingly.,2,,,,,,,
!,2,,,‘Field Workers’: Many municipalities have field workers who engage with young people in their communities， offering support and assistance. You can approach them directly without needing an appointment. Field workers operate in various locations， including schools， youth centers， social media platforms， and outdoor spots frequented by young people. To check for field workers in your area， visit your municipal website. They may also be referred to as field assistants or outreach workers.,3,,,,,key,,
!,3,,,Ryan and his mother live in a small rented apartment. Despite her two jobs， his mother struggles to cover the rent and daily expenses. Although they manage to get by， it is clear she is exhausted. ,4,,,,,,,
!,4,,,You contacted Ryan， suggesting a meeting to discuss his situation further. Since his mother couldn't attend due to her work， Ryan agreed to meet at a nearby café. Upon arrival， you see a young man anxiously waiting.,5,,,,,,,
$,5,Me,l,Hi Ryan， you're early. Have you been waiting long?,6,,,,,,,
$,6,Ryan,r,Hi... No， school ended early today， so I got here ahead of time.,7,,,,,,,
$,7,Me,l,It's nice to meet you. I have a general understanding of your situation， but I'd like to hear more from you. Can you tell me in detail? ,8,,,,,,,
$,8,Ryan,r,I'm 16... and studying at a vocational school. My mom is working so hard， and I'm really worried about her. We live in a small apartment... and I heard you might be able to help us apply for financial aid. Is that true?,9,,,,,,,
$,9,Me,l,Yes， we have a department that offers financial assistance to families in need. If financial hardship is one of your challenges， we can certainly help.,10,,,,,,,
!,10,,,‘Financial Assistance’: Financial aid consists of two parts. The first covers essential expenses like food， clothing， recreation， hygiene products， and communication costs. The second part covers rent， utilities， childcare， transportation， healthcare， medications， and unemployment insurance. The total aid amount is determined by deducting the household's income (including wages， housing allowances， and child benefits) from the total expenses. Supporting documents like bank statements and rental agreements are required.,11,,,,,key,,
$,11,Ryan,r,How much support can we receive? We really need this money!,12,,,,,,,
$,12,Me,l,It depends on your circumstances. The assistance is divided into two parts. The first part is...,13,,,,,,,
$,13,Caroline,r,(enters suddenly) Ryan!,14,,,,,,,
$,14,Ryan,r,Mom! Why are you here?,15,,,,,,,
$,15,Me,l,Hello， ma'am. I'm the social worker you spoke to on the phone.,16,,,,,,,
$,16,Caroline,r,(Ignoring you) I told you not to come! Why don't you listen?,17,,,,,,,
$,17,Ryan,r,But mom!,18,,,,,,,
$,18,Caroline,r,(Grabbing Ryan's bag) Enough! We're going home!,19,,,,,,,
$,19,Ryan,r,Mom， wait!,20,,,,,,,
$,20,Caroline,r,How many times have I told you? Stay away from them! They’ll take Carlos away! Is your brother more important or this money?,21,,,,,,,
$,21,Ryan,r,Mom， I never even mentioned Carlos to them!,22,,,,,,,
$,22,Caroline,r,...,23,,,,,,,
%,23,,,Relax ma'am， can we talk for a moment?,26,1,,,,,,
%,24,,,Who is Little Carlos,27,,-1,,,,,
%,25,,,Ma’am， you must have a huge misunderstanding about us!,29,,1,,,,,
$,26,Me,l,Can you tell me the details? Since I already know about Little Carlos， trust me， I will do my best to help you.,31,,,,,,,
$,27,Caroline,r,...,28,,,,,,,
$,28,Ryan,r,Didn't my mom just say it? He's my little brother.,31,,,,,,,
$,29,Me,l,From what you’ve said， I understand that you have another child named Carlos. I guess you have a misunderstanding about us， ma'am.,30,,,,,,,
$,30,Me,l,Please believe me， we will never take your child away just because you're facing financial difficulties,31,,,,,,,
$,31,Caroline,r,There’s nothing good about dealing with you. I’ve seen it online!,32,,,,,,,
$,32,Ryan,r,Mom! I’ve investigated it online， those are rumors!,33,,,,,,,
!,33,,,‘Negative Reports on Social Services’:There have been misleading claims suggesting that Swedish social services ‘kidnap’ children， without cause. These falsehoods have been spread internationally through media outlets like Al Jazeera and on platforms like TikTok. Additionally， those spreading this misinformation often share their negative experiences with social services， citing issues like social workers not listening or understanding， and claim that social services are not genuinely trying to help， but instead attempting to remove children from their homes.,34,,,,,key,,
$,34,Ryan,r,The requirements for cases where children are taken away are very high， and you can find posts from people who have experienced it online! ,35,,,,,,,
$,35,Ryan,r,Social services wouldn’t dare to lie about such matters， and besides， taking children away benefits them in no way!,36,,,,,,,
%,36,,,Please rest assured! Trust us!,39,1,,,,,,
%,37,,,We won’t take the child if there’s no danger.,39,,1,,,,,
%,38,,,By the way， I forgot to ask—who is the father of the child?,41,-3,-3,-3,,,,
$,39,Me,l,If you're worried about foster care， please rest assured. ,40,,,,,,,
$,40,Me,l,Unless the child faces immediate risk or threats of violence， we will never take the child away from you. That is always the last resort. The child's feelings and well-being are our top priority.,42,,,,,,,
$,41,Caroline,r,This is none of your business!,42,,,,,,,
!,42,,,Foster Care: Foster care refers to a family where children can go and live with them. Foster families are selected by social services and are intended to provide additional support to children and their families.Sometimes， children and adolescents must live away from home to receive protection or help. However， this situation is not common. This is referred to as out-of-home care. If a child is placed in out-of-home care， they will live in a foster family (familjehem)， a care home (HVB)， a youth institution care home (SiS)， or an assisted living residence (stödboende). It is important to emphasize again that this situation is rare， and social services always focus on the child's feelings and well-being.,43,,,,,key,,
$,43,Caroline,r,No， I don’t trust them.,44,,,,,,,
$,44,Ryan,r,Mom! Just talk to them!,45,,,,,,,
!,45,,,Now the situation has reached a critical point. Caroline doesn’t trust you， and you need to carefully choose the measures to take. Choosing the wrong one could result in the failure of this case.,46,,,,,,,
#,46,,,Introduce Caroline to people from support communities who have similar situations.,49,5,10,5,,,,
#,47,,,Show her the case files of similar cases.,51,5,,-15,,,,
#,48,,,Continue explaining to her and assure her that you won’t take the child away.,53,10,-5,,,,,
!,49,,,There was someone with a situation similar to Caroline's who had difficulties with the foster family. After receiving our help， they joined a support community. I called someone from the support community to ask if they would be willing to bring Caroline in and explain things to her， and they agreed. After that， I gave Caroline the contact number.,50,,,,,,,
!,50,,,Soon after， Caroline attended a support community event， and after talking to others， she was able to clear up her doubts. She called me， asking for help. After explaining things to her， I transferred the case to the department responsible for financial aid to handle the follow-up. Caroline expressed her gratitude. The case ended.,55,,,,,,,
!,51,,,I tried to provide Caroline with case files of similar cases to directly dispel her doubts. However， I overlooked one thing: social services handle cases based on strict confidentiality agreements， and all case files cannot be made public. In the end， I couldn’t get the files and was severely criticized by my supervisor.,52,,,,,,,
!,52,,,"I chose to stay in contact with them for two months (starting from July 1， 2025， as changes to the ""Social Services Act"" are expected， and this period will likely be extended to six months). However， Caroline didn’t answer the phone， and Ryan said he would continue trying， but he wasn’t very hopeful about convincing his mother. Two months later， the case ended.",67,,,,,,,
!,53,,,"I made a great effort to continue explaining our policies， management methods， and requirements to Caroline， assuring her that we would not take the child away due to financial issues. She may have understood， or she may not have， but ten minutes later， she took Ryan and left， saying she would think about it. I chose to stay in contact with them for two months (starting from July 1， 2025， as changes to the ""Social Services Act"" are expected， and this period will likely be extended to six months).",54,,,,,,,
!,54,,,Caroline might not have been able to take my calls due to work reasons. After one successful connection， she said that the current situation was somewhat manageable， but she still needed more time to think. Ryan said he would continue to persuade his mother， and if successful， he would call me. Two months later， the case ended.,67,,,,,,,
!,55,,,A few months later， I received a call from Ryan's mother...,56,,,,Office,,,
$,56,Me,l,Hi there.,57,,,,,,,
$,57,Caroline,r,Hello， this is Caroline.,58,,,,,,,
$,58,Me,l,Ah， Ms. Caroline! How have you been recently?,59,,,,,,,
$,59,Caroline,r,I’ve been doing well， thank you. The community really helped me a lot， and the financial support I applied for has come through. I really feel much lighter now.,60,,,,,,,
$,60,Me,l,I’m glad to hear that. How’s Ryan? Is he doing well?,61,,,,,,,
$,61,Caroline,r,He’s doing pretty well. He doesn’t seem so troubled lately. Thank you for your concern.,62,,,,,,,
$,62,Caroline,r,Actually， the reason I’m calling is to apologize.,63,,,,,,,
$,63,Caroline,r,I apologize for my previous impoliteness and lack of trust. You really helped us a lot...,64,,,,,,,
$,64,Me,l,There’s no need to apologize. I’m just happy to have been able to help you. Clarifying misunderstandings has always been one of our goals.,65,,,,,,,
$,65,Caroline,r,Anyway... really， thank you. I hope everything goes well for you.,66,,,,,,,
$,66,Me,l,No need to thank me. You too!,67,,,,,,,
End,67,,,,,,,,City,,,
